2025-01-16 04:16:28,580 - Endpoint: /docs | Status: 200 | Time: 0.0000s
2025-01-16 04:16:28,675 - Endpoint: /openapi.json | Status: 200 | Time: 0.0152s
2025-01-16 04:16:35,536 - Endpoint: /api/user/auth | Status: 200 | Time: 0.1993s
2025-01-16 04:16:51,099 - Endpoint: /api/admin/orders | Status: 200 | Time: 0.0296s
2025-01-16 04:17:05,801 - Endpoint: /api/admin/orders | Status: 200 | Time: 0.0100s
2025-01-16 04:17:08,683 - Endpoint: /api/admin/orders | Status: 200 | Time: 0.0110s
2025-01-16 04:17:10,279 - Endpoint: /api/admin/orders | Status: 200 | Time: 0.0128s
2025-01-16 04:17:11,929 - Endpoint: /api/admin/orders | Status: 200 | Time: 0.0140s
2025-01-16 04:17:18,356 - Endpoint: /api/admin/orders/3 | Status: 200 | Time: 0.0172s
2025-01-16 04:17:21,581 - Endpoint: /api/admin/orders/2 | Status: 200 | Time: 0.0219s
2025-01-16 04:17:23,014 - Endpoint: /api/admin/orders/1 | Status: 404 | Time: 0.0080s
2025-01-16 04:17:39,206 - Endpoint: /api/admin/metrics | Status: 500 | Time: 0.0000s
2025-01-16 04:20:39,032 - Endpoint: /api/admin/metrics | Status: 500 | Time: 0.0010s
2025-01-16 04:21:17,045 - Endpoint: /api/admin/metrics | Status: 500 | Time: 0.0020s
2025-01-16 04:22:35,600 - Endpoint: /api/admin/metrics | Status: 500 | Time: 0.0010s
2025-01-16 04:25:36,803 - Endpoint: /api/admin/metrics | Status: 200 | Time: 0.0010s
2025-01-16 04:31:48,648 - Endpoint: /api/admin/metrics | Status: 200 | Time: 0.0010s
2025-01-16 04:33:41,076 - Endpoint: /docs | Status: 200 | Time: 0.0000s
2025-01-16 04:33:41,179 - Endpoint: /openapi.json | Status: 200 | Time: 0.0220s
2025-01-16 04:33:45,926 - Endpoint: /api/admin/metrics | Status: 200 | Time: 0.0110s
2025-01-16 04:36:04,769 - Endpoint: /api/admin/metrics | Status: 200 | Time: 0.0010s
2025-01-16 04:36:30,425 - Endpoint: /api/admin/orders/3 | Status: 401 | Time: 0.0020s
2025-01-16 04:36:41,002 - Endpoint: /api/user/auth | Status: 200 | Time: 0.1845s
2025-01-16 04:36:43,494 - Endpoint: /api/admin/orders/3 | Status: 200 | Time: 0.0540s
2025-01-16 04:36:48,102 - Endpoint: /api/admin/metrics | Status: 200 | Time: 0.0141s
2025-01-16 04:46:08,067 - Endpoint: /api/admin/metrics | Status: 200 | Time: 0.0010s
2025-01-16 04:48:24,577 - Endpoint: /api/admin/metrics | Status: 200 | Time: 0.0010s
2025-01-16 04:48:56,946 - Endpoint: /api/admin/metrics | Status: 200 | Time: 0.0010s
2025-01-16 04:49:15,076 - Endpoint: /api/admin/metrics | Status: 200 | Time: 0.0010s
2025-01-16 04:52:22,240 - Endpoint: /api/admin/metrics | Status: 200 | Time: 0.0010s
2025-01-16 05:49:42,992 - Endpoint: /order | Status: 404 | Time: 0.0010s
2025-01-16 05:54:35,071 - Endpoint: /api/user/signup | Status: 404 | Time: 0.0000s
2025-01-16 05:56:06,103 - Endpoint: /api/order/3 | Status: 404 | Time: 0.0000s
2025-01-16 05:57:29,157 - Endpoint: /api/user/sign-up | Status: 422 | Time: 0.0000s
2025-01-16 05:58:18,304 - Endpoint: /api/user/auth | Status: 422 | Time: 0.0010s
2025-01-16 05:59:26,760 - Endpoint: /api/user/auth | Status: 422 | Time: 0.0010s
2025-01-16 05:59:33,681 - Endpoint: /api/user/auth | Status: 200 | Time: 0.2246s
2025-01-16 06:00:09,203 - Endpoint: /api/user/auth | Status: 422 | Time: 0.0010s
2025-01-16 06:00:38,614 - Endpoint: /api/user/auth | Status: 422 | Time: 0.0000s
2025-01-16 06:01:05,780 - Endpoint: /api/user/auth | Status: 400 | Time: 0.0040s
2025-01-16 06:08:28,649 - Endpoint: /api/user/auth | Status: 200 | Time: 0.1603s
2025-01-16 06:08:59,432 - Endpoint: /api/user/sign-up | Status: 422 | Time: 0.0010s
2025-01-16 06:09:32,917 - Endpoint: /api/user/sign-up | Status: 422 | Time: 0.0000s
2025-01-16 06:09:33,138 - Endpoint: /api/user/auth | Status: 400 | Time: 0.0090s
2025-01-16 06:10:13,628 - Endpoint: /api/user/sign-up | Status: 422 | Time: 0.0010s
2025-01-16 06:10:13,854 - Endpoint: /api/user/auth | Status: 400 | Time: 0.0100s
2025-01-16 06:11:23,708 - Endpoint: /api/user/sign-up | Status: 422 | Time: 0.0010s
2025-01-16 06:11:55,976 - Endpoint: /api/user/auth | Status: 200 | Time: 0.1180s
2025-01-16 06:12:22,303 - Endpoint: /api/user/sign-up | Status: 422 | Time: 0.0010s
2025-01-16 06:12:39,048 - Endpoint: /api/user/sign-up | Status: 422 | Time: 0.0010s
2025-01-16 06:12:58,936 - Endpoint: /api/user/sign-up | Status: 422 | Time: 0.0010s
2025-01-16 06:15:20,236 - Endpoint: /api/user/sign-up | Status: 422 | Time: 0.0010s
2025-01-16 06:15:40,770 - Endpoint: /api/user/sign-up | Status: 422 | Time: 0.0010s
2025-01-16 06:17:48,621 - Endpoint: /docs | Status: 200 | Time: 0.0010s
2025-01-16 06:17:48,722 - Endpoint: /openapi.json | Status: 200 | Time: 0.0190s
2025-01-16 06:19:08,186 - Endpoint: /docs | Status: 200 | Time: 0.0010s
2025-01-16 06:19:08,279 - Endpoint: /openapi.json | Status: 200 | Time: 0.0220s
2025-01-16 06:19:48,063 - Endpoint: /api/user/sign-up | Status: 422 | Time: 0.0010s
2025-01-16 06:20:53,592 - Endpoint: /api/user/sign-up | Status: 422 | Time: 0.0020s
2025-01-16 06:21:05,555 - Endpoint: /api/user/sign-up | Status: 200 | Time: 0.2201s
2025-01-16 06:21:29,885 - Endpoint: /api/user/auth | Status: 200 | Time: 0.1921s
